brands,models,body,variant,fuel,transmission,city,price,mileage,engine_power
Toyota,Vellfire,MPV,Hi,Hybrid,Automatic, Jaipur,1.39,19.28,2487 cc
Toyota,Fortuner,SUV7,2.7 4x2 AT,Petrol,Automatic, Jaipur,41.71,10.00 Km/l,2694 cc
Toyota,Glanza,Hatchback5,V AMT,Petrol,Automatic, Jaipur,11.78,22.35 Km/l,1197 cc
Toyota,Innova Hycross,SUV7,2.0 G-SLF 7 STR CVT,Petrol,Automatic, Jaipur,22.7,16.13 Km/l,1987 cc
Toyota,Camry (2022-2024),Sedan5,Hybrid,Hybrid,Automatic, Jaipur,54.88,19.1,2487 cc
Toyota,Innova Crysta (2020-2023),SUV7,2.7 GX 7 STR Petrol,Petrol,Manual, Jaipur,21.72,16.00 Km/l,2393 cc
Toyota,Glanza,Hatchback5,E,Petrol,Manual, Mumbai,8.59,22.35 Km/l,1197 cc
Toyota,Urban Cruiser Hyryder,SUV5,Neodrive E,Petrol,Manual, Mumbai,13.68,21.12 Km/l,1462 cc
Toyota,Rumion,SUV7,S Neo Drive,Petrol,Manual, Mumbai,12.55,20.51 Km/l,1462 cc
Toyota,Innova Hycross,SUV7,2.0 GX 7 STR CVT,Petrol,Automatic, Mumbai,24.54,16.13 Km/l,1987 cc
Toyota,Innova Crysta,SUV8,GX 7 STR,Diesel,Manual, Mumbai,24.87,12.99 Km/l,2393 cc
Toyota,Urban Cruiser Taisor,SUV5,1.2 E CNG,CNG,Manual, Mumbai,9.99,21.70 Km/l,1197 cc
Toyota,Camry (2022-2024),Sedan5,Hybrid,Hybrid,Automatic, Mumbai,54.48,19.1,2487 cc
Toyota,Fortuner,SUV7,2.7 4x2 MT,Petrol,Manual, Mumbai,41.18,10.00 Km/l,2694 cc
Toyota,Fortuner Legender,SUV7,2.8 4x4 AT,Diesel,Automatic, Mumbai,59.94,14.40 Km/l,2755 cc
Toyota,Camry,Sedan5,Hybrid,Hybrid,Automatic, Mumbai,59.41,25.49,2487 cc
Toyota,Hilux,Pick,STD 4X4 MT,Diesel,Automatic, Mumbai,38.55,12.00 Km/l,2755 cc
Toyota,Land Cruiser,SUV5,ZX Diesel,Diesel,Automatic, Mumbai,2.37,11.00 Km/l,3346 cc
Toyota,Vellfire,MPV,Hi,Hybrid,Automatic, Mumbai,1.46,19.28,2487 cc
Toyota,Innova Crysta (2020-2023),SUV7,2.7 GX 7 STR Petrol,Petrol,Manual, Mumbai,21.11,16.00 Km/l,2393 cc
Toyota,Glanza,Hatchback5,E,Petrol,Manual, Noida,7.85,22.35 Km/l,1197 cc
Toyota,Rumion,SUV7,S Neo Drive,Petrol,Manual, Noida,12.12,20.51 Km/l,1462 cc
Toyota,Innova Crysta,SUV8,GX 8 STR,Diesel,Manual, Noida,23.45,12.99 Km/l,2393 cc
Toyota,Urban Cruiser Hyryder,SUV5,Neodrive S,Petrol,Manual, Noida,14.74,21.12 Km/l,1462 cc
Toyota,Innova Hycross,SUV7,2.0 GX 7 STR CVT,Petrol,Automatic, Noida,23.19,16.13 Km/l,1987 cc
Toyota,Urban Cruiser Taisor,SUV5,1.2 E,Petrol,Manual, Noida,8.75,21.70 Km/l,1197 cc
Toyota,Camry (2022-2024),Sedan5,Hybrid,Hybrid,Automatic, Noida,48.36,19.1,2487 cc
Toyota,Fortuner,SUV7,2.7 4x2 MT,Petrol,Manual, Noida,39.2,10.00 Km/l,2694 cc
Toyota,Fortuner Legender,SUV7,2.8 4x2 AT,Diesel,Automatic, Noida,51.51,14.40 Km/l,2755 cc
Toyota,Camry,Sedan5,Hybrid,Hybrid,Automatic, Noida,56.44,25.49,2487 cc
Toyota,Hilux,Pick,STD 4X4 MT,Diesel,Automatic, Noida,34.57,12.00 Km/l,2755 cc
Toyota,Land Cruiser,SUV5,ZX Diesel,Diesel,Automatic, Noida,2.37,11.00 Km/l,3346 cc
Toyota,Vellfire,MPV,Hi,Hybrid,Automatic, Noida,1.39,19.28,2487 cc
Toyota,Innova Crysta (2020-2023),SUV7,2.7 GX 7 STR Petrol,Petrol,Manual, Noida,21.49,16.00 Km/l,2393 cc
Toyota,Glanza,Hatchback5,G AMT,Petrol,Automatic, Pune,11.04,22.35 Km/l,1197 cc
Toyota,Fortuner Legender,SUV7,2.8 4x4 AT,Diesel,Automatic, Pune,58.52,14.40 Km/l,2755 cc
Toyota,Rumion,SUV7,V AT Neo Drive,Petrol,Automatic, Pune,16.51,20.51 Km/l,1462 cc
Toyota,Innova Crysta,SUV7,GX 7 STR,Diesel,Manual, Pune,24.54,12.99 Km/l,2393 cc
Toyota,Urban Cruiser Hyryder,SUV5,Neodrive V AWD,Petrol,Manual, Pune,21.05,21.12 Km/l,1462 cc
Toyota,Urban Cruiser Taisor,SUV5,1.2 S Plus,Petrol,Manual, Pune,10.69,21.70 Km/l,1197 cc
Toyota,Camry,Sedan5,Hybrid,Hybrid,Automatic, Pune,55.95,25.49,2487 cc
Toyota,Hilux,Pick,STD 4X4 MT,Diesel,Automatic, Pune,36.19,12.00 Km/l,2755 cc
Toyota,Land Cruiser,SUV5,ZX Diesel,Diesel,Automatic, Pune,2.37,11.00 Km/l,3346 cc
Toyota,Vellfire,MPV,Hi,Hybrid,Automatic, Pune,1.46,19.28,2487 cc
Toyota,Fortuner,SUV7,2.7 4x2 AT,Petrol,Automatic, Pune,42.39,10.00 Km/l,2694 cc
Toyota,Innova Hycross,SUV7,2.0 G-SLF 7 STR CVT,Petrol,Automatic, Pune,22.86,16.13 Km/l,1987 cc
Toyota,Camry (2022-2024),Sedan5,Hybrid,Hybrid,Automatic, Pune,55.78,19.1,2487 cc
Toyota,Innova Crysta (2020-2023),SUV7,2.7 GX 7 STR Petrol,Petrol,Manual, Pune,21.11,16.00 Km/l,2393 cc
Tata,Altroz,Hatchback5,1.2 XE,Petrol,Manual, Ahmedabad,7.38,25.11 Km/l,1497 cc
Tata,Curvv EV,SUV5,Creative 45,Electric,Automatic, Ahmedabad,19.63,502.00 Km/full charge,45000 watt
Tata,Nexon EV,SUV5,Creative Plus MR,Electric,Automatic, Ahmedabad,16.3,325.00 Km/full charge,30000 watt
Tata,Harrier,SUV5,Pure Plus S Dark Edition AT,Diesel,Automatic, Ahmedabad,22.38,16.80 Km/l,1956 cc
Tata,Tiago NRG,Hatchback5,1.2 XT,Petrol,Manual, Ahmedabad,7.38,20.00 Km/l,1199 cc
Tata,Punch,SUV5,Pure(O),Petrol,Manual, Ahmedabad,7.6,20.09 Km/l,1199 cc
Tata,Punch EV,SUV5,Smart 3.3,Electric,Automatic, Ahmedabad,12.3,315.00 Km/full charge,25000 watt
Tata,Safari,SUV7,Pure Plus S AT,Diesel,Automatic, Ahmedabad,22.49,16.14 Km/l,1956 cc
Tata,Nexon,SUV5,1.2 Creative,Petrol,Manual, Ahmedabad,12.25,17.40 Km/l,1199 cc
Tata,Curvv,SUV5,1.5 Pure Plus,Diesel,Manual, Ahmedabad,14.1,17.40 Km/l,1199 cc
Tata,Tiago EV (2022-2025),Hatchback5,XE Medium,Electric,Automatic, Ahmedabad,9.07,250.00 Km/full charge,19200 watt
Tata,Tigor (2020-2025),Sedan5,XM Twin-Cylinder CNG,CNG,Manual, Ahmedabad,8.79,20.03 Km/l,1199 cc
Tata,Tiago (2020-2025),Hatchback5,XT,Petrol,Manual, Ahmedabad,7.02,19.80 Km/l,1199 cc
Tata,Tigor EV,Sedan2,XE,Electric,Automatic, Ahmedabad,14.24,315.00 Km/full charge,55000 watt
Tata,Harrier (2020-2023),SUV5,2.0 XE,Diesel,Manual, Ahmedabad,17.25,16.35 Km/l,1956 cc
Tata,Nexon EV Max (2022-2023),SUV5,XZ Plus 7.2 KW FC,Electric,Automatic, Ahmedabad,20.4,437.00 Km/full charge,40500 watt
Tata,Nexon,SUV5,1.2 Smart Plus,Petrol,Manual, Bangalore,10.87,17.40 Km/l,1199 cc
Tata,Punch,SUV5,Pure(O),Petrol,Manual, Bangalore,8.38,20.09 Km/l,1199 cc
Tata,Altroz,Hatchback5,1.2 XT,Petrol,Manual, Bangalore,10.03,25.11 Km/l,1497 cc
Tata,Nexon EV,SUV5,Empowered 45,Electric,Automatic, Bangalore,17.17,325.00 Km/full charge,30000 watt
Tata,Tiago NRG,Hatchback5,1.2 XT,Petrol,Manual, Bangalore,7.99,20.00 Km/l,1199 cc
Tata,Tigor EV,Sedan5,XE,Electric,Automatic, Bangalore,13.43,315.00 Km/full charge,55000 watt
Tata,Harrier,SUV5,Smart,Diesel,Manual, Bangalore,19.01,16.80 Km/l,1956 cc
Tata,Punch EV,SUV5,Smart Plus 3.3,Electric,Automatic, Bangalore,12.06,315.00 Km/full charge,25000 watt
Tata,Curvv,SUV5,1.2 Pure Plus,Petrol,Manual, Bangalore,14.07,17.40 Km/l,1199 cc
Tata,Safari,SUV7,Adventure Plus A AT,Diesel,Automatic, Bangalore,30.76,16.14 Km/l,1956 cc
Tata,Curvv EV,SUV5,Accomplished 45,Electric,Automatic, Bangalore,19.81,502.00 Km/full charge,45000 watt
Tata,Tiago,Hatchback5,XE,Petrol,Manual, Bangalore,6.21,19.80 Km/l,1199 cc
Tata,Tiago EV,Hatchback5,XE MR,Electric,Automatic, Bangalore,8.62,250.00 Km/full charge,19200 watt
Tata,Tigor,Compact,XM,Petrol,Manual, Bangalore,7.47,20.03 Km/l,1199 cc
Tata,Tiago,Hatchback5,XZ,Petrol,Manual, Bangalore,8.71,19.80 Km/l,1199 cc
Tata,Tigor,Compact,XZ CNG,CNG,Manual, Bangalore,10.4,20.03 Km/l,1199 cc
Tata,Nexon,SUV5,1.5 Smart Plus S,Diesel,Manual, Chennai,12.93,17.40 Km/l,1199 cc
Tata,Punch,SUV5,Adventure S,Petrol,Manual, Chennai,9.26,20.09 Km/l,1199 cc
Tata,Altroz,Hatchback5,1.2 XE,Petrol,Manual, Chennai,8.04,25.11 Km/l,1497 cc
Tata,Nexon EV,SUV5,Creative Plus MR,Electric,Automatic, Chennai,13.44,325.00 Km/full charge,30000 watt
Tata,Tiago NRG,Hatchback5,1.2 XT Twin-Cylinder CNG,CNG,Manual, Chennai,8.99,20.00 Km/l,1199 cc
Tata,Harrier,SUV5,Adventure Plus Dark Edition AT,Diesel,Automatic, Chennai,29.07,16.80 Km/l,1956 cc
Tata,Tigor EV,Sedan5,XE,Electric,Automatic, Chennai,13.22,315.00 Km/full charge,55000 watt
Tata,Safari,SUV7,Accomplished Plus Dark Edition 6S,Diesel,Manual, Chennai,32.38,16.14 Km/l,1956 cc
Tata,Punch EV,SUV5,Empowered Plus 3.3,Electric,Automatic, Chennai,13.63,315.00 Km/full charge,25000 watt
Tata,Tiago,Hatchback5,XE,Petrol,Manual, Chennai,6.06,19.80 Km/l,1199 cc
Tata,Tiago EV,Hatchback5,XE MR,Electric,Automatic, Chennai,8.49,250.00 Km/full charge,19200 watt
Tata,Tigor,Compact,XM,Petrol,Manual, Chennai,7.28,20.03 Km/l,1199 cc
Tata,Curvv EV,SUV5,Accomplished 45,Electric,Automatic, Chennai,19.73,502.00 Km/full charge,45000 watt
Tata,Curvv,SUV5,1.2 Creative,Petrol,Manual, Chennai,15.44,17.40 Km/l,1199 cc
Tata,Harrier (2020-2023),SUV5,2.0 XE,Diesel,Manual, Chennai,19.07,16.35 Km/l,1956 cc
Tata,Nexon EV Max (2022-2023),SUV5,XZ Plus 7.2 KW FC,Electric,Automatic, Chennai,19.34,437.00 Km/full charge,40500 watt
Tata,Nexon,SUV5,1.2 Smart Plus,Petrol,Manual, Delhi,10.02,17.40 Km/l,1199 cc
Tata,Curvv EV,SUV5,Accomplished Plus S 45,Electric,Automatic, Delhi,20.37,502.00 Km/full charge,45000 watt
Tata,Punch,SUV5,Pure CNG,CNG,Manual, Delhi,8.28,20.09 Km/l,1199 cc
Tata,Altroz,Hatchback5,1.2 XE,Petrol,Manual, Delhi,7.55,25.11 Km/l,1497 cc
Tata,Nexon EV,SUV5,Creative Plus MR,Electric,Automatic, Delhi,13.3,325.00 Km/full charge,30000 watt
Tata,Tiago NRG,Hatchback5,1.2 XT,Petrol,Manual, Delhi,7.36,20.00 Km/l,1199 cc
Tata,Tigor EV,Sedan5,XE,Electric,Automatic, Delhi,13.2,315.00 Km/full charge,55000 watt
Tata,Harrier,SUV5,Pure (O),Diesel,Manual, Delhi,20.58,16.80 Km/l,1956 cc
Tata,Punch EV,SUV5,Adventure 3.3,Electric,Automatic, Delhi,12.5,315.00 Km/full charge,25000 watt
Tata,Safari,SUV7,Pure Plus AT,Diesel,Automatic, Delhi,23.48,16.14 Km/l,1956 cc
Tata,Curvv,SUV5,1.2 Pure Plus,Petrol,Manual, Delhi,12.95,17.40 Km/l,1199 cc
Tata,Tiago,Hatchback5,XE,Petrol,Manual, Delhi,5.6,19.80 Km/l,1199 cc
Tata,Tiago EV,Hatchback5,XE MR,Electric,Automatic, Delhi,8.44,250.00 Km/full charge,19200 watt
Tata,Tigor,Compact,XM,Petrol,Manual, Delhi,6.66,20.03 Km/l,1199 cc
Tata,Tiago,Hatchback5,XZ,Petrol,Manual, Delhi,7.96,19.80 Km/l,1199 cc
Tata,Tigor,Compact,XZ CNG,CNG,Manual, Delhi,9.49,20.03 Km/l,1199 cc
Tata,Nexon,SUV5,1.2 Smart Plus,Petrol,Manual, Faridabad,10.07,17.40 Km/l,1199 cc
Tata,Punch,SUV5,Pure(O),Petrol,Manual, Faridabad,7.75,20.09 Km/l,1199 cc
Tata,Altroz,Hatchback5,1.2 XE,Petrol,Manual, Faridabad,7.57,25.11 Km/l,1497 cc
Tata,Nexon EV,SUV5,Fearless 45,Electric,Automatic, Faridabad,17.07,325.00 Km/full charge,30000 watt
Tata,Tiago NRG,Hatchback5,1.2 XT,Petrol,Manual, Faridabad,7.44,20.00 Km/l,1199 cc
Tata,Tigor EV,Sedan5,XE,Electric,Automatic, Faridabad,14.18,315.00 Km/full charge,55000 watt
Tata,Harrier,SUV5,Pure (O),Diesel,Manual, Faridabad,19.74,16.80 Km/l,1956 cc
Tata,Safari,SUV7,Pure Plus AT,Diesel,Automatic, Faridabad,22.54,16.14 Km/l,1956 cc
Tata,Punch EV,SUV5,Adventure LR 3.3,Electric,Automatic, Faridabad,13.87,315.00 Km/full charge,25000 watt
Tata,Tiago,Hatchback5,XE,Petrol,Manual, Faridabad,5.61,19.80 Km/l,1199 cc
Tata,Tiago EV,Hatchback5,XE MR,Electric,Automatic, Faridabad,9.05,250.00 Km/full charge,19200 watt
Tata,Tigor,Compact,XM,Petrol,Manual, Faridabad,6.69,20.03 Km/l,1199 cc
Tata,Curvv EV,SUV5,Accomplished Plus S 45,Electric,Automatic, Faridabad,21.87,502.00 Km/full charge,45000 watt
Tata,Curvv,SUV5,1.2 Pure Plus,Petrol,Manual, Faridabad,12.67,17.40 Km/l,1199 cc
Tata,Tiago,Hatchback5,XZ,Petrol,Manual, Faridabad,8,19.80 Km/l,1199 cc
Tata,Tigor,Compact,XZ CNG,CNG,Manual, Faridabad,9.55,,
Tata,Nexon,SUV5,1.2 Smart Plus S,Petrol,Manual, Ghaziabad,10.4,17.40 Km/l,1199 cc
Tata,Punch,SUV5,Pure CNG,CNG,Manual, Ghaziabad,8.29,20.09 Km/l,1199 cc
Tata,Altroz,Hatchback5,1.2 XE,Petrol,Manual, Ghaziabad,7.56,25.11 Km/l,1497 cc
Tata,Nexon EV,SUV5,Empowered 45,Electric,Automatic, Ghaziabad,18.5,325.00 Km/full charge,30000 watt
Tata,Tiago NRG,Hatchback5,1.2 XT,Petrol,Manual, Ghaziabad,7.4,20.00 Km/l,1199 cc
Tata,Harrier,SUV5,Adventure Plus AT,Diesel,Automatic, Ghaziabad,25.88,16.80 Km/l,1956 cc
Tata,Tigor EV,Sedan5,XE,Electric,Automatic, Ghaziabad,13.07,315.00 Km/full charge,55000 watt
Tata,Safari,SUV7,Pure Plus AT,Diesel,Automatic, Ghaziabad,22.93,16.14 Km/l,1956 cc
Tata,Tiago,Hatchback5,XE,Petrol,Manual, Ghaziabad,5.76,19.80 Km/l,1199 cc
Tata,Punch EV,SUV5,Empowered Plus LR 3.3,Electric,Automatic, Ghaziabad,15.83,315.00 Km/full charge,25000 watt
Tata,Tiago EV,Hatchback5,XE MR,Electric,Automatic, Ghaziabad,9.04,250.00 Km/full charge,19200 watt
Tata,Tigor,Compact,XM,Petrol,Manual, Ghaziabad,6.86,20.03 Km/l,1199 cc
Tata,Curvv EV,SUV5,Accomplished 55,Electric,Automatic, Ghaziabad,22.2,502.00 Km/full charge,45000 watt
Tata,Curvv,SUV5,1.2 Pure Plus,Petrol,Manual, Ghaziabad,12.89,17.40 Km/l,1199 cc
Tata,Tiago EV (2022-2025),Hatchback5,XE Medium,Electric,Automatic, Ghaziabad,9.16,250.00 Km/full charge,19200 watt
Tata,Tigor (2020-2025),Sedan5,XM Twin-Cylinder CNG,CNG,Manual, Ghaziabad,8.75,20.03 Km/l,1199 cc
Tata,Nexon,SUV5,1.2 Smart Plus,Petrol,Manual, Gurgaon,10.07,17.40 Km/l,1199 cc
Tata,Curvv EV,SUV5,Accomplished Plus S 45,Electric,Automatic, Gurgaon,21.87,502.00 Km/full charge,45000 watt
Tata,Punch,SUV5,Pure(O),Petrol,Manual, Gurgaon,7.75,20.09 Km/l,1199 cc
Tata,Altroz,Hatchback5,1.2 XE,Petrol,Manual, Gurgaon,7.57,25.11 Km/l,1497 cc
Tata,Nexon EV,SUV5,Fearless 45,Electric,Automatic, Gurgaon,17.07,325.00 Km/full charge,30000 watt
Tata,Tiago NRG,Hatchback5,1.2 XT,Petrol,Manual, Gurgaon,7.44,20.00 Km/l,1199 cc
Tata,Tigor EV,Sedan5,XE,Electric,Automatic, Gurgaon,14.18,315.00 Km/full charge,55000 watt
Tata,Harrier,SUV5,Pure (O),Diesel,Manual, Gurgaon,19.74,16.80 Km/l,1956 cc
Tata,Punch EV,SUV5,Adventure LR 3.3,Electric,Automatic, Gurgaon,13.87,315.00 Km/full charge,25000 watt
Tata,Safari,SUV7,Pure Plus AT,Diesel,Automatic, Gurgaon,22.54,16.14 Km/l,1956 cc
Tata,Curvv,SUV5,1.2 Pure Plus,Petrol,Manual, Gurgaon,12.67,17.40 Km/l,1199 cc
Tata,Tiago,Hatchback5,XE,Petrol,Manual, Gurgaon,5.61,19.80 Km/l,1199 cc
Tata,Tiago EV,Hatchback5,XE MR,Electric,Automatic, Gurgaon,9.05,250.00 Km/full charge,19200 watt
Tata,Tigor,Compact,XM,Petrol,Manual, Gurgaon,6.69,20.03 Km/l,1199 cc
Tata,Tiago,Hatchback5,XZ,Petrol,Manual, Gurgaon,8,19.80 Km/l,1199 cc
Tata,Tigor,Compact,XZ CNG,CNG,Manual, Gurgaon,9.55,20.03 Km/l,1199 cc
Tata,Nexon,SUV5,1.2 Smart Plus,Petrol,Manual, Hyderabad,10.63,17.40 Km/l,1199 cc
Tata,Punch,SUV5,Adventure Rhythm,Petrol,Manual, Hyderabad,9.08,20.09 Km/l,1199 cc
Tata,Curvv EV,SUV5,Accomplished Plus S 55,Electric,Automatic, Hyderabad,21.26,502.00 Km/full charge,45000 watt
Tata,Altroz,Hatchback5,1.2 XM Plus CNG,CNG,Manual, Hyderabad,10.13,25.11 Km/l,1497 cc
Tata,Nexon EV,SUV5,Empowered Plus 45,Electric,Automatic, Hyderabad,17.93,325.00 Km/full charge,30000 watt
Tata,Tiago NRG,Hatchback5,1.2 XT,Petrol,Manual, Hyderabad,7.82,20.00 Km/l,1199 cc
Tata,Tigor EV,Sedan5,XE,Electric,Automatic, Hyderabad,13.24,315.00 Km/full charge,55000 watt
Tata,Harrier,SUV5,Fearless Plus Dark Edition,Diesel,Manual, Hyderabad,30.51,16.80 Km/l,1956 cc
Tata,Punch EV,SUV5,Smart 3.3,Electric,Automatic, Hyderabad,10.53,315.00 Km/full charge,25000 watt
Tata,Curvv,SUV5,1.2 Pure Plus S,Petrol,Manual, Hyderabad,14.59,17.40 Km/l,1199 cc
Tata,Safari,SUV7,Accomplished Plus AT,Diesel,Automatic, Hyderabad,32.66,16.14 Km/l,1956 cc
Tata,Tiago EV (2022-2025),Hatchback5,XE Medium,Electric,Automatic, Hyderabad,8.6,,
Tata,Tigor (2020-2025),Sedan5,XM Twin-Cylinder CNG,CNG,Manual, Hyderabad,9.22,20.03 Km/l,1199 cc
Tata,Tiago (2020-2025),Hatchback5,XT,Petrol,Manual, Hyderabad,7.37,19.80 Km/l,1199 cc
Tata,Harrier (2020-2023),SUV5,2.0 XE,Diesel,Manual, Hyderabad,18.91,16.35 Km/l,1956 cc
Tata,Nexon EV Max (2022-2023),SUV5,XZ Plus 7.2 KW FC,Electric,Automatic, Hyderabad,21.85,437.00 Km/full charge,40500 watt
Tata,Altroz,Hatchback5,1.2 XE,Petrol,Manual, Jaipur,7.72,25.11 Km/l,1497 cc
Tata,Harrier,SUV5,Pure Plus S Dark Edition,Diesel,Manual, Jaipur,23.06,16.80 Km/l,1956 cc
Tata,Curvv,SUV5,1.2 Pure Plus S,Petrol,Manual, Jaipur,13.85,17.40 Km/l,1199 cc
Tata,Curvv EV,SUV5,Creative 45,Electric,Automatic, Jaipur,18.6,502.00 Km/full charge,45000 watt
Tata,Nexon,SUV5,1.2 Smart Plus,Petrol,Manual, Jaipur,10.31,17.40 Km/l,1199 cc
Tata,Nexon EV,SUV5,Fearless 45,Electric,Automatic, Jaipur,16.04,325.00 Km/full charge,30000 watt
Tata,Punch,SUV5,Pure,Petrol,Manual, Jaipur,7.23,20.09 Km/l,1199 cc
Tata,Punch EV,SUV5,Smart 3.3,Electric,Automatic, Jaipur,10.57,315.00 Km/full charge,25000 watt
Tata,Safari,SUV7,Smart,Diesel,Manual, Jaipur,18.67,16.14 Km/l,1956 cc
Tata,Tiago NRG,Hatchback5,1.2 XT,Petrol,Manual, Jaipur,7.45,20.00 Km/l,1199 cc
Tata,Tigor EV,Sedan5,XE,Electric,Automatic, Jaipur,12.95,315.00 Km/full charge,55000 watt
Tata,Harrier (2020-2023),SUV5,2.0 XE,Diesel,Manual, Jaipur,18.41,16.35 Km/l,1956 cc
Tata,Nexon EV Max (2022-2023),SUV5,XZ Plus 7.2 KW FC,Electric,Automatic, Jaipur,19.4,437.00 Km/full charge,40500 watt
Tata,Nexon (2020-2023),SUV5,1.5 XZ Plus (S) Diesel,Diesel,Manual, Jaipur,14.79,17.40 Km/l,1199 cc
Tata,Harrier (2023-2023),SUV5,2.0 XMS,Diesel,Manual, Jaipur,21.9,16.35 Km/l,1956 cc
Tata,Nexon EV Prime (2020-2023),SUV5,XM,Electric,Automatic, Jaipur,15.66,312.00 Km/full charge,30200 watt
Tata,Nexon,SUV5,1.2 Smart Plus,Petrol,Manual, Mumbai,10.37,17.40 Km/l,1199 cc
Tata,Punch,SUV5,Pure,Petrol,Manual, Mumbai,7.29,20.09 Km/l,1199 cc
Tata,Altroz,Hatchback5,1.2 XE,Petrol,Manual, Mumbai,7.8,25.11 Km/l,1497 cc
Tata,Nexon EV,SUV5,Creative Plus MR,Electric,Automatic, Mumbai,13.31,325.00 Km/full charge,30000 watt
Tata,Tiago NRG,Hatchback5,1.2 XT,Petrol,Manual, Mumbai,7.73,20.00 Km/l,1199 cc
Tata,Tigor EV,Sedan5,XE,Electric,Automatic, Mumbai,13.24,315.00 Km/full charge,55000 watt
Tata,Harrier,SUV5,Smart (O),Diesel,Manual, Mumbai,19.11,16.80 Km/l,1956 cc
Tata,Punch EV,SUV5,Smart 3.3,Electric,Automatic, Mumbai,10.46,315.00 Km/full charge,25000 watt
Tata,Curvv EV,SUV5,Creative 45,Electric,Automatic, Mumbai,18.51,502.00 Km/full charge,45000 watt
Tata,Curvv,SUV5,1.2 Pure Plus S,Petrol,Manual, Mumbai,13.99,17.40 Km/l,1199 cc
Tata,Safari,SUV7,Pure Plus S,Diesel,Manual, Mumbai,23.25,16.14 Km/l,1956 cc
Tata,Tiago,Hatchback5,XE,Petrol,Manual, Mumbai,5.96,19.80 Km/l,1199 cc
Tata,Tiago EV,Hatchback5,XE MR,Electric,Automatic, Mumbai,8.46,250.00 Km/full charge,19200 watt
Tata,Tigor,Compact,XM,Petrol,Manual, Mumbai,7.1,20.03 Km/l,1199 cc
Tata,Tiago,Hatchback5,XZ,Petrol,Manual, Mumbai,8.12,19.80 Km/l,1199 cc
Tata,Tigor,Compact,XZ CNG,CNG,Manual, Mumbai,9.39,20.03 Km/l,1199 cc
Tata,Nexon,SUV5,1.2 Smart Plus S,Petrol,Manual, Noida,10.4,17.40 Km/l,1199 cc
Tata,Punch,SUV5,Pure CNG,CNG,Manual, Noida,8.29,20.09 Km/l,1199 cc
Tata,Altroz,Hatchback5,1.2 XE,Petrol,Manual, Noida,7.56,25.11 Km/l,1497 cc
Tata,Nexon EV,SUV5,Empowered 45,Electric,Automatic, Noida,18.5,325.00 Km/full charge,30000 watt
Tata,Tiago NRG,Hatchback5,1.2 XT,Petrol,Manual, Noida,7.4,20.00 Km/l,1199 cc
Tata,Harrier,SUV5,Adventure Plus AT,Diesel,Automatic, Noida,25.88,16.80 Km/l,1956 cc
Tata,Tigor EV,Sedan5,XE,Electric,Automatic, Noida,13.07,315.00 Km/full charge,55000 watt
Tata,Safari,SUV7,Pure Plus AT,Diesel,Automatic, Noida,22.93,16.14 Km/l,1956 cc
Tata,Tiago,Hatchback5,XE,Petrol,Manual, Noida,5.76,19.80 Km/l,1199 cc
Tata,Punch EV,SUV5,Empowered Plus LR 3.3,Electric,Automatic, Noida,15.83,315.00 Km/full charge,25000 watt
Tata,Tiago EV,Hatchback5,XE MR,Electric,Automatic, Noida,9.04,250.00 Km/full charge,19200 watt
Tata,Tigor,Compact,XM,Petrol,Manual, Noida,6.86,20.03 Km/l,1199 cc
Tata,Curvv EV,SUV5,Accomplished 55,Electric,Automatic, Noida,22.2,502.00 Km/full charge,45000 watt
Tata,Curvv,SUV5,1.2 Pure Plus,Petrol,Manual, Noida,12.89,17.40 Km/l,1199 cc
Tata,Tiago EV (2022-2025),Hatchback5,XE Medium,Electric,Automatic, Noida,9.16,250.00 Km/full charge,19200 watt
Tata,Tigor (2020-2025),Sedan5,XM Twin-Cylinder CNG,CNG,Manual, Noida,8.75,20.03 Km/l,1199 cc
Tata,Nexon,SUV5,1.2 Smart Plus,Petrol,Manual, Pune,10.5,17.40 Km/l,1199 cc
Tata,Curvv EV,SUV5,Creative 45,Electric,Automatic, Pune,18.77,502.00 Km/full charge,45000 watt
Tata,Altroz,Hatchback5,1.2 XE,Petrol,Manual, Pune,8.05,25.11 Km/l,1497 cc
Tata,Nexon EV,SUV5,Empowered MR,Electric,Automatic, Pune,16.05,325.00 Km/full charge,30000 watt
Tata,Tiago NRG,Hatchback5,1.2 XT,Petrol,Manual, Pune,7.71,20.00 Km/l,1199 cc
Tata,Tigor EV,Sedan5,XE,Electric,Automatic, Pune,13.51,315.00 Km/full charge,55000 watt
Tata,Harrier,SUV5,Pure,Diesel,Manual, Pune,20.55,16.80 Km/l,1956 cc
Tata,Punch EV,SUV5,Smart 3.3,Electric,Automatic, Pune,10.75,315.00 Km/full charge,25000 watt
Tata,Safari,SUV7,Pure Plus,Diesel,Manual, Pune,23.28,16.14 Km/l,1956 cc
Tata,Curvv,SUV5,1.2 Pure Plus,Petrol,Manual, Pune,13.36,17.40 Km/l,1199 cc
Tata,Tiago,Hatchback5,XE,Petrol,Manual, Pune,6.08,19.80 Km/l,1199 cc
Tata,Tiago EV,Hatchback5,XE MR,Electric,Automatic, Pune,8.54,250.00 Km/full charge,19200 watt
Tata,Tigor,Compact,XM,Petrol,Manual, Pune,7.19,20.03 Km/l,1199 cc
Tata,Punch,SUV5,Pure,Petrol,Manual, Pune,7.39,20.09 Km/l,1199 cc
